Filename,New Title,Summary,Tags,Level,Target Population,Trigger Keywords,Primary Therapeutic Technique,Word Count,Estimated Duration (min)
Script_72.docx,Releasing Emotional Armor – Embracing Vulnerability,"A session designed to help the listener gently release emotional armor and reconnect with their authentic self. Through guided imagery of shedding heavy layers and embracing inner softness, the listener is invited to experience the power of vulnerability.","EmotionalRelease, Vulnerability, SelfAcceptance, EmotionalHealing, LettingGo, InnerSoftness",Intense,Adult,"EmotionalRelease, Vulnerability, SelfAcceptance, LettingGo, InnerSoftness",Suggestive and Visualization Hypnosis,1060,9.22
Script_73.docx,Embracing the Present – Letting Go of the Past,"A session that guides the listener in releasing attachments to past experiences and embracing the present moment. Through grounding exercises and breathwork, the listener is invited to let go of old narratives and step into the now.","LettingGo, EmotionalRelease, PresentMoment, Mindfulness, BreathWork, InnerCalm",Moderate,Adult,"LettingGo, EmotionalRelease, PresentMoment, BreathWork, InnerCalm",Suggestive and Visualization Hypnosis,750,6.52
Script_74.docx,Embracing Stillness – Finding Calm in the Chaos,"A session that invites the listener to connect with their inner stillness amidst external chaos. Through grounding visualizations and soothing breathwork, the listener is guided to create a space of calm and resilience.","InnerCalm, EmotionalResilience, Mindfulness, Grounding, BreathWork, LettingGo",Moderate,Adult,"InnerCalm, EmotionalResilience, Mindfulness, Grounding, LettingGo",Meditative Hypnosis,788,6.85
Script_75.docx,The Corridor of Memories – A Passage Through Time,"A session that guides the listener through a corridor of memories, allowing them to revisit and release emotional weights tied to past experiences. Through the opening of symbolic doors, the listener is invited to acknowledge, forgive, and reclaim their sense of self.","MemoryHealing, EmotionalRelease, Forgiveness, SelfReclamation, InnerJourney, NarrativeHypnosis",Intense,Adult,"MemoryHealing, EmotionalRelease, Forgiveness, SelfReclamation, InnerJourney",Regressive Hypnosis,1033,8.98
Script_76.docx,Reconnecting with the Inner Voice – Trusting Your Intuition,"A session that guides the listener to quiet the external noise and tune into their inner voice. Through grounding visualizations and sensory awareness exercises, the listener is invited to rebuild trust in their inner guidance and reconnect with their authentic self.","Intuition, InnerVoice, SelfTrust, InnerGuidance, EmotionalClarity, SelfAwareness",Moderate,Adult,"Intuition, InnerVoice, SelfTrust, InnerGuidance, SelfAwareness",Meditative Hypnosis,927,8.06
Script_77.docx,Embracing Self-Worth – Releasing Self-Doubt,"A session that gently guides the listener to reconnect with their inherent worth and release self-doubt. Through affirmations and soothing visualizations, the listener is invited to internalize a sense of self-acceptance and trust in their abilities.","SelfWorth, ConfidenceBoost, SelfAcceptance, EmotionalHealing, InnerStrength, SelfEmpowerment",Moderate,Adult,"SelfWorth, ConfidenceBoost, SelfAcceptance, InnerStrength, SelfEmpowerment",Suggestive and Visualization Hypnosis,1013,8.81
Script_78.docx,Letting Go of Perfection – Embracing Imperfection,"A session that guides the listener to release the need for perfection and embrace the beauty of imperfection. Through grounding techniques and self-compassion exercises, the listener is invited to accept themselves as they are, flaws and all.","Perfectionism, SelfAcceptance, LettingGo, SelfCompassion, InnerCalm, EmotionalRelease",Moderate,Adult,"Perfectionism, SelfAcceptance, LettingGo, SelfCompassion, InnerCalm",Suggestive and Visualization Hypnosis,941,8.18
Script_79.docx,The Power of Self-Validation – Reclaiming Inner Strength,"A session that guides the listener to embrace self-validation as a source of inner strength. Through affirmations and grounding visualizations, the listener is encouraged to recognize their inherent worth and validate their feelings without external approval.","SelfValidation, InnerStrength, ConfidenceBoost, SelfEmpowerment, EmotionalHealing, SelfWorth",Moderate,Adult,"SelfValidation, InnerStrength, ConfidenceBoost, SelfEmpowerment, SelfWorth",Suggestive and Visualization Hypnosis,918,7.98
Script_80.docx,The Room of Memories and Lost Connections,"A session that guides the listener through a room filled with old memories and lost connections. Through symbolic visualization, the listener is invited to revisit, release, and reframe old emotional patterns, allowing space for healing and self-compassion.","Nostalgia, InnerChildHealing, EmotionalRelease, Memories, SelfWorth, EmotionalIntegration, LettingGo",Intense,Adult,"Nostalgia, InnerChildHealing, EmotionalRelease, Memories, LettingGo",Regressive Hypnosis,984,8.56
Script_81.docx,Awakening the Inner Child – A Journey to Playfulness,"A session that invites the listener to reconnect with their inner child and rediscover the joy of playfulness. Through guided imagery of playful scenes and sensory exploration, the listener is encouraged to release inhibitions and embrace a lighter, more carefree state of being.","InnerChild, Playfulness, Joy, EmotionalRelease, SelfAcceptance, InnerFreedom",Moderate,Adult,"InnerChild, Playfulness, Joy, EmotionalRelease, InnerFreedom",Suggestive and Visualization Hypnosis,971,8.44
Script_82.docx,The Mirror of Self-Acceptance – Embracing the Reflection,"A session that invites the listener to stand before a symbolic mirror and embrace their true self. Through guided imagery and self-affirmations, the listener is encouraged to release self-judgment and embrace self-compassion.","SelfAcceptance, SelfCompassion, SelfReflection, EmotionalHealing, InnerCalm, LettingGo",Moderate,Adult,"SelfAcceptance, SelfCompassion, SelfReflection, EmotionalHealing, LettingGo",Suggestive and Visualization Hypnosis,828,7.2
Script_83.docx,Releasing the Weight of Expectations – Embracing Freedom,"A session that guides the listener through a process of releasing societal, familial, and self-imposed expectations. Through symbolic visualizations and grounding exercises, the listener is encouraged to reclaim their personal freedom and inner authenticity.","Expectations, LettingGo, EmotionalFreedom, SelfAcceptance, InnerCalm, Empowerment",Moderate,Adult,"Expectations, LettingGo, EmotionalFreedom, SelfAcceptance, InnerCalm",Suggestive and Visualization Hypnosis,762,6.63
Script_84.docx,The Garden of Self-Compassion – Nurturing Inner Growth,"A session that invites the listener to step into a serene garden of self-compassion. Through guided imagery of planting seeds of kindness and nurturing inner growth, the listener is encouraged to cultivate self-love and emotional healing.","SelfCompassion, EmotionalHealing, SelfLove, InnerGrowth, NatureVisualization, LettingGo",Moderate,Adult,"SelfCompassion, EmotionalHealing, SelfLove, InnerGrowth, LettingGo",Metaphoric Hypnosis,804,6.99
Script_85.docx,The River of Release,"A session that guides the listener to release the burdens of resentment, anger, and familial hurt by symbolically casting these feelings into a river. Through visualization and emotional release, the listener is invited to reclaim inner peace and self-worth.","Release, Forgiveness, InnerStrength, SelfEmpowerment, FamilyResentment, EmotionalHealing, Renewal, Transformation",Intense,Adult,"Release, Forgiveness, FamilyResentment, EmotionalHealing, Transformation",Regressive and Metaphoric Hypnosis,960,8.35
Script_86.docx,The Path of Self-Forgiveness – Letting Go of Past Mistakes,"A session that guides the listener along a symbolic path where they encounter and release the weight of past mistakes. Through visualizations of forgiveness and self-compassion, the listener is encouraged to let go of guilt and embrace inner peace.","Forgiveness, SelfCompassion, LettingGo, EmotionalHealing, InnerPeace, SelfAcceptance",Intense,Adult,"Forgiveness, SelfCompassion, LettingGo, EmotionalHealing, InnerPeace",Regressive and Suggestive Hypnosis,625,5.43
Script_87.docx,Crossing the Bridge to Acceptance – Embracing What Is,"A session that guides the listener across a symbolic bridge, inviting them to leave behind resistance and embrace acceptance. Through grounding techniques and visualizations, the listener is encouraged to release control and welcome the present moment with peace.","Acceptance, LettingGo, InnerPeace, SelfAcceptance, EmotionalHealing, PresentMoment",Moderate,Adult,"Acceptance, LettingGo, InnerPeace, SelfAcceptance, PresentMoment",Suggestive and Visualization Hypnosis,620,5.39
Script_88.docx,The Healing Well – Replenishing Inner Resources,"A session that invites the listener to approach a symbolic healing well, drawing from its soothing waters to replenish inner strength and emotional resilience. Through guided imagery and sensory exploration, the listener is encouraged to release exhaustion and embrace renewal.","Healing, InnerStrength, Renewal, EmotionalHealing, Resilience, InnerPeace",Moderate,Adult,"Healing, InnerStrength, Renewal, EmotionalHealing, Resilience",Metaphoric and Suggestive Hypnosis,1147,9.97
Script_89.docx,Releasing Family Resentment and Reclaiming Self-Worth,"A session that invites the listener to release the burdens of family resentment and to reclaim their inherent self-worth. Through grounding techniques and symbolic visualization, the listener is guided to let go of past hurts and reconnect with their inner strength and self-empowerment.","FamilyResentment, SelfWorth, EmotionalRelease, Assertiveness, BoundarySetting, ReclaimingIdentity, InnerStrength",Intense,Adult,"FamilyResentment, SelfWorth, EmotionalRelease, Assertiveness, ReclaimingIdentity",Regressive and Suggestive Hypnosis,1210,10.52
Script_90.docx,Embracing Emotional Authenticity – Releasing the Mask,"A session that invites the listener to remove the emotional mask they wear to hide their true feelings. Through guided visualizations and grounding exercises, the listener is encouraged to reconnect with their authentic self and release the burden of pretenses.","EmotionalAuthenticity, LettingGo, SelfExpression, InnerPeace, EmotionalHealing, SelfAcceptance",Moderate,Adult,"EmotionalAuthenticity, LettingGo, SelfExpression, InnerPeace, SelfAcceptance",Suggestive and Visualization Hypnosis,412,3.58
Script_91.docx,The Circle of Protection – Reclaiming Inner Safety,"A session that guides the listener to create a symbolic circle of protection, allowing them to feel grounded, secure, and shielded from external stressors. Through visualization and affirmations, the listener is invited to reconnect with their inner sanctuary.","Protection, Safety, InnerCalm, Grounding, EmotionalSecurity, Empowerment",Moderate,Adult,"Protection, Safety, InnerCalm, Grounding, EmotionalSecurity",Suggestive and Visualization Hypnosis,523,4.55
Script_92.docx,The Path of Forgiveness – Releasing Emotional Burdens,"A session that guides the listener along a symbolic path where they encounter and release emotional burdens through the act of forgiveness. Through visualizations and affirmations, the listener is invited to let go of resentment and embrace inner peace.","Forgiveness, LettingGo, EmotionalRelease, InnerPeace, Healing, SelfCompassion",Intense,Adult,"Forgiveness, LettingGo, EmotionalRelease, InnerPeace, SelfCompassion",Regressive and Suggestive Hypnosis,474,4.12
Script_93.docx,Embracing the Present – Letting Go of Regret,"A session that invites the listener to release the weight of past regrets and to reconnect with the present moment. Through grounding exercises and calming visualizations, the listener is guided to embrace what is, letting go of what could have been.","LettingGo, Regret, PresentMoment, EmotionalRelease, InnerCalm, Acceptance",Moderate,Adult,"LettingGo, Regret, PresentMoment, EmotionalRelease, InnerCalm",Suggestive and Visualization Hypnosis,487,4.23
